Location,Retail_recreation,Grocery_pharmacy,Parks,Transit_stations,Workplaces,Residential,2016_candidate
USA,-0.47,-0.22,-0.19,-0.51,-0.38,0.12,Trump
Alabama,-0.41,-0.13,0.19,-0.30,-0.32,0.09,Trump
Alaska,-0.48,-0.27,0.18,-0.55,-0.33,0.10,Trump
Arizona,-0.40,-0.17,-0.07,-0.41,-0.33,0.10,Trump
Arkansas,-0.29,-0.07,0.81,-0.22,-0.27,0.07,Trump
California,-0.50,-0.24,-0.38,-0.54,-0.39,0.15,Clinton
Colorado,-0.51,-0.27,-0.12,-0.60,-0.40,0.13,Clinton
Connecticut,-0.56,-0.32,-0.52,-0.64,-0.38,0.15,Clinton
Delaware,-0.47,-0.28,-0.06,-0.57,-0.37,0.12,Clinton
District of Columbia,-0.64,-0.30,-0.41,-0.68,-0.47,0.14,Trump
Florida,-0.50,-0.26,-0.48,-0.63,-0.41,0.13,Trump
Georgia,-0.42,-0.17,-0.02,-0.52,-0.37,0.11,Trump
Hawaii,-0.56,-0.36,-0.65,-0.72,-0.45,0.16,Clinton
Idaho,-0.42,-0.18,0.25,-0.34,-0.38,0.10,Trump
Illinois,-0.53,-0.24,-0.29,-0.55,-0.39,0.13,Clinton
Indiana,-0.48,-0.25,0.24,-0.34,-0.36,0.11,Trump
Iowa,-0.43,-0.10,0.41,-0.28,-0.29,0.10,Trump
Kansas,-0.36,-0.14,0.72,-0.20,-0.30,0.09,Trump
Kentucky,-0.37,-0.11,0.68,-0.34,-0.34,0.09,Trump
Louisiana,-0.45,-0.16,-0.18,-0.49,-0.35,0.11,Trump
Maine,-0.50,-0.22,-0.24,-0.56,-0.31,0.10,Clinton
Maryland,-0.45,-0.25,0.29,-0.51,-0.39,0.13,Clinton
Massachusetts,-0.59,-0.36,-0.56,-0.73,-0.42,0.16,Clinton
Michigan,-0.58,-0.28,0.15,-0.55,-0.43,0.12,Trump
Minnesota,-0.58,-0.35,-0.16,-0.64,-0.38,0.14,Clinton
Mississippi,-0.32,-0.07,-0.27,-0.29,-0.30,0.09,Trump
Missouri,-0.38,-0.12,0.73,-0.34,-0.32,0.09,Trump
Montana,-0.51,-0.25,0.28,-0.37,-0.37,0.10,Trump
Nebraska,-0.34,-0.09,1.09,-0.18,-0.24,0.08,Trump
Nevada,-0.47,-0.23,-0.38,-0.62,-0.52,0.14,Clinton
New Hampshire,-0.58,-0.35,-0.63,-0.63,-0.38,0.13,Clinton
New Jersey,-0.59,-0.33,-0.36,-0.70,-0.44,0.16,Clinton
New Mexico,-0.44,-0.18,-0.12,-0.31,-0.34,0.11,Clinton
New York,-0.62,-0.32,-0.47,-0.68,-0.46,0.16,Clinton
North Carolina,-0.40,-0.15,0.13,-0.51,-0.35,0.10,Trump
North Dakota,-0.44,-0.13,0.73,-0.36,-0.24,0.09,Trump
Ohio,-0.43,-0.19,1.17,-0.33,-0.35,0.10,Trump
Oklahoma,-0.36,-0.12,0.29,-0.23,-0.32,0.09,Trump
Oregon,-0.51,-0.25,-0.22,-0.47,-0.38,0.12,Clinton
Pennsylvania,-0.50,-0.27,0.07,-0.52,-0.38,0.12,Trump
Rhode Island,-0.55,-0.30,-0.50,-0.67,-0.37,0.14,Clinton
South Carolina,-0.38,-0.11,-0.04,-0.34,-0.34,0.09,Trump
South Dakota,-0.35,-0.03,1.26,-0.31,-0.25,0.08,Trump
Tennessee,-0.35,-0.09,0.35,-0.35,-0.34,0.08,Trump
Texas,-0.45,-0.23,-0.27,-0.47,-0.36,0.13,Trump
Utah,-0.41,-0.14,0.26,-0.44,-0.40,0.10,Trump
Vermont,-0.62,-0.42,-0.55,-0.71,-0.43,0.13,Clinton
Virginia,-0.39,-0.16,0.46,-0.50,-0.36,0.11,Clinton
Washington,-0.48,-0.26,-0.11,-0.56,-0.41,0.13,Clinton
West Virginia,-0.38,-0.16,0.52,-0.31,-0.33,0.08,Trump
Wisconsin,-0.55,-0.30,-0.12,-0.50,-0.34,0.13,Trump
Wyoming,-0.37,-0.13,0.29,-0.14,-0.29,0.08,Trump